# gals field z mass r_edge sigma_edge re n ar pa
2699 cosmos 0.728600025177002 18448689408.63949 8.5 10.418446461624644 0.250566 1.7472 0.7777 -33.6985
2836 cosmos 0.9562000036239624 19726158809.52507 11.5 6.906163683693605 0.53937 0.6874 0.4838 -57.2334
3008 cosmos 0.6640999913215637 32964576775.087055 21.5 1.119152348509294 0.609258 1.9378 0.5 -20.0
3139 cosmos 0.8533999919891357 23189369921.09398 10.5 4.844641038925698 0.4824 2.0854 0.41 65.2525
3150 cosmos 0.9251000285148621 41775181280.91255 13.5 3.5693673182159027 0.800208 0.9214 0.2245 55.7538
3175 cosmos 0.18654 39050582271.65478 14.5 3.13578219772833 0.873006 2.3928 0.55 55.0
3355 cosmos 0.6790000200271606 36673642590.43371 13.5 9.150949862417527 0.544722 3.5322 0.421 14.3351
3367 cosmos 0.9284 31689867697.1548 11.5 6.713930324135883 0.407226 1.4848 0.7932 -33.732
3458 cosmos 1.0896999835968018 50053220859.71981 6.5 33.66721507546451 0.21816 2.2975 0.7407 68.5388
3493 cosmos 0.8496999740600586 15909582841.886127 11.5 7.002044359230932 0.448008 3.5098 0.6468 -44.8873
3580 cosmos 0.8792 87439062182.58365 13.5 10.099971281204375 0.353232 3.7459 0.62 -25.0
3584 cosmos 0.9264 29832174611.36894 9.5 11.229635892359259 0.443556 0.7889 0.6476 -87.9544
3594 cosmos 0.819100022315979 66515540157.615036 12.5 11.642624353161688 0.337374 3.0348 0.5838 84.1681
3834 cosmos 0.2971000075340271 20263787760.02072 16.5 1.8236836175960003 1.27181 1.2651 0.5826 34.2351
3946 cosmos 0.5662000179290771 48441830548.070404 17.5 3.6232067375238413 1.02413 1.4692 0.78 45.0
3955 cosmos 0.8392999768257141 94536025854.41924 13.5 23.712760292375556 0.438264 3.182 0.3819 56.264
4021 cosmos 0.6758000254631042 54749263701.12076 16.5 3.2739319261405937 0.50346 2.1385 0.9 -15.0
4465 cosmos 0.3736000061035156 54168142071.71001 12.5 7.726973308003832 0.40455 2.6272 0.4452 36.7443
4532 cosmos 0.9564999938011169 29353648918.2288 12.5 9.522660010683278 0.629508 0.594 0.7744 77.7433
