x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
3 0 161.9900 -27.7686 0.3032 0.0143 28.4312 0.9480 11.7226 0.9790 8.9099 1.1982 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 0 0 0
3 0 161.9900 -27.7686 0.2424 0.0164 166.5913 0.6612 8.4838 0.6612 5.1548 0.7767 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 0 0 0
3 0 161.9900 -27.7686 2.3439 0.8200 -9.2383 0.7642 1.8295 0.3227 10.7492 6.3194 0.0560 0.2301 -1014.3633 1.2037 9 9 0 1 0 0 0
3 0 161.9900 -27.7686 0.6548 0.0661 4.0178 0.2098 1.1990 0.1869 1.9679 0.5363 0.0560 0.2301 -1014.3633 1.2037 9 9 0 0 0 0 0
4 0 161.9004 -27.7686 19.9548 4.0969 -5.3579 0.3756 1.5833 0.1241 79.1943 23.7437 0.0553 0.2023 -1021.9882 1.1516 9 9 0 1 0 0 1
4 0 161.9004 -27.7686 6.5168 0.2713 0.4951 0.0299 1.2347 0.0349 20.1699 1.4339 0.0553 0.2023 -1021.9882 1.1516 9 9 0 0 0 0 1
4 0 161.9004 -27.7686 2.7258 0.2498 -20.3619 0.2160 5.3340 0.2490 36.4447 5.1970 0.0553 0.2023 -1021.9882 1.1516 9 9 0 1 0 0 1
4 0 161.9004 -27.7686 3.1690 4.8121 -7.7230 2.1175 1.6289 0.5876 12.9392 31.4026 0.0553 0.2023 -1021.9882 1.1516 9 9 0 1 0 0 1
4 0 161.9004 -27.7686 6.6383 0.6328 -4.9207 0.1430 5.1095 0.2107 85.0211 11.9445 0.0553 0.2023 -1021.9882 1.1516 9 9 0 1 0 0 1
4 0 161.9004 -27.7686 1.6712 0.8148 -4.3878 0.0626 0.7024 0.1461 2.9426 2.3454 0.0553 0.2023 -1021.9882 1.1516 9 9 0 1 0 0 1
4 0 161.9004 -27.7686 0.1930 0.0142 166.6110 0.9164 10.8116 0.9164 5.2302 0.8598 0.0553 0.2023 -1021.9882 1.1516 9 9 0 0 0 0 1
4 0 161.9004 -27.7686 1.8141 0.3220 -12.0786 0.5460 14.3327 0.8633 65.1748 16.1905 0.0553 0.2023 -1021.9882 1.1516 9 9 0 1 0 0 1
4 0 161.9004 -27.7686 0.2694 0.0173 30.8486 1.2675 10.2974 1.0834 6.9548 1.2254 0.0553 0.2023 -1021.9882 1.1516 9 9 0 0 0 0 1
5 0 161.8108 -27.7686 13.5114 4.7347 -5.3518 0.2432 1.4703 0.1805 49.7953 25.7065 0.0566 0.5549 -974.5322 1.2601 9 9 0 1 0 0 1
5 0 161.8108 -27.7686 6.0792 3.2013 0.4332 0.1201 1.1760 0.1414 17.9196 12.7248 0.0566 0.5549 -974.5322 1.2601 9 9 0 1 0 0 1
5 0 161.8108 -27.7686 1.1975 0.0399 -22.1482 0.0994 2.9269 0.1258 8.7861 0.6830 0.0566 0.5549 -974.5322 1.2601 9 9 0 0 0 0 1
5 0 161.8108 -27.7686 4.5057 0.0450 -12.1737 0.1344 11.4967 0.0750 129.8437 2.1525 0.0566 0.5549 -974.5322 1.2601 9 9 0 0 0 0 1
5 0 161.8108 -27.7686 0.2686 0.0151 30.0374 0.8432 10.6866 0.9115 7.1962 1.0524 0.0566 0.5549 -974.5322 1.2601 9 9 0 0 0 0 1
5 0 161.8108 -27.7686 2.9425 3.3909 0.9503 1.9566 1.9470 0.4656 14.3603 23.9396 0.0566 0.5549 -974.5322 1.2601 9 9 0 1 0 0 1
5 0 161.8108 -27.7686 0.1399 0.0142 166.9604 1.3561 11.6083 1.3561 4.0714 0.9356 0.0566 0.5549 -974.5322 1.2601 9 9 0 0 0 0 1
5 0 161.8108 -27.7686 12.1812 3.9404 -5.7726 0.6828 2.6344 0.1372 80.4393 31.5643 0.0566 0.5549 -974.5322 1.2601 9 9 0 1 0 0 1
5 0 161.8108 -27.7686 1.4281 1.0124 -4.2364 0.0751 0.6619 0.1537 2.3692 2.6196 0.0566 0.5549 -974.5322 1.2601 9 9 0 1 0 0 1
6 0 161.7211 -27.7686 7.9862 1.2152 -5.5382 0.2055 1.1450 0.1209 22.9205 6.2769 0.0543 0.0785 -964.8010 1.2362 9 9 0 1 0 0 1
6 0 161.7211 -27.7686 2.5674 2.2151 1.5414 1.6711 1.7697 0.4748 11.3891 15.5182 0.0543 0.0785 -964.8010 1.2362 9 9 0 1 0 0 1
6 0 161.7211 -27.7686 1.4504 0.0372 -21.9349 0.0746 2.8592 0.0945 10.3947 0.6191 0.0543 0.0785 -964.8010 1.2362 9 9 0 0 1 0 1
6 0 161.7211 -27.7686 4.4770 0.0390 -12.4282 0.1282 11.6431 0.0742 130.6621 1.9787 0.0543 0.0785 -964.8010 1.2362 9 9 0 0 1 0 1
6 0 161.7211 -27.7686 0.2589 0.0136 30.9148 0.9153 11.8923 0.9862 7.7187 1.0783 0.0543 0.0785 -964.8010 1.2362 9 9 0 0 0 0 1
